Nome,IP,Site,Fabricante,Modelo,Função,COMUNIDADE SNMP,Latitude,Longitude,Status Zabbix,VAZIO
NOME ,,LOCAL,CISCO,,,,,,,
,,BAIRRO,,,,,,,,
Fundec Jardim Gramacho BRIP,138.97.15.22,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Inclusão e Trabalho BRIP,138.97.15.146,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Gramacho BRIP,138.97.15.78,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Figueira BRIP,138.97.15.30,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Degase BRIP,138.97.15.86,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Corte8 BRIP,138.97.14.86,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Cederj BRIP,138.97.15.134,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Assistencia Social BRIP,138.97.15.106,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Fundec Arnão BRIP,138.97.15.94,,Tp-link,Roteador Wireless Tp-link,Cliente Corporativo ,public,,,Inativo,
Frimesa BRIP3342,192.168.136.6,,Mikrotik,RouterOS RB941-2nD,Cliente Corporativo ,public,,,Ativo,
Frescatto SP BRCCH3971,"177,190,200,206",,Mikrotik,RouterOS RB750r2,Cliente Corporativo ,public,,,Ativo,
Frescatto Ceasa BRCCH2899,"192,168,135,108",,Mikrotik,RouterOS RB750r2,Cliente Corporativo ,public,,,Ativo,
Frescatto Caxias BRIP2240,138.97.12.113,,Mikrotik,RouterOS RB2011UiAS,Cliente Corporativo ,public,,,Ativo,
Frescatto Barra BRIP3390,177.12.191.42,,Mikrotik,RouterOS RB941-2nD,Cliente Corporativo ,public,,,Ativo,
FREE FIRE,143.92.125.238,,Game,,Monitoramento,public,,,Ativo,
Fortymil BRIP1896,138.97.12.161,,Mikrotik,RouterOS RB2011UiAS,Cliente Corporativo ,public,,,Ativo,
Forno de Minas BRIP,192.168.136.26,,Mikrotik,RouterOS RB941-2nD,Cliente Corporativo ,public,,,Ativo,
